id,contextid,component,filearea,itemid,filepath,filename,filesize,contenthash,pathnamehash,courseid
797,14,course,overviewfiles,0,/,httpsdownload.logo.winelogoJohnson_%26_JohnsonJohnson_%26_Johnson-Logo.wine.png,48134,b52e09c4015049ba5d5bd820157f9373ec0df167,6e8aa806f1e5f1adfe17f76bd150a1d0b425469c,2
798,14,course,overviewfiles,0,/,.,0,da39a3ee5e6b4b0d3255bfef95601890afd80709,f04489f7edea8d182fb6be45430942491ba4150a,2
803,78,course,overviewfiles,0,/,.,0,da39a3ee5e6b4b0d3255bfef95601890afd80709,cdea3ed075db3c4edc8ae1d3bf4a07bfc01deb19,3
802,78,course,overviewfiles,0,/,vecteezy_machine-learning-icon-artificial-intelligence-smart_13899429.jpg,154124,a46438200a6ba5a173f6ea325a040101d35d4701,0fa84731a59dce2b4f348c51f1ad9d1f6710a469,3
807,80,course,overviewfiles,0,/,dataeng.png,19094,44c886b2d6125a1c094c909e9a943e5036432561,d281f3b2c26c02c5011a928499ae36edc1955d5a,4
808,80,course,overviewfiles,0,/,.,0,da39a3ee5e6b4b0d3255bfef95601890afd80709,45bc0c45108eeb8436f08ce8d4bc4cfe2f127f5f,4
812,82,course,overviewfiles,0,/,course_summary_512x512.png,280807,75cc7187dd8d78644fc2fa98083d9c49f88cb125,7aefcfb32d814fbfe32cd5a67bec19cab2e3c202,5
813,82,course,overviewfiles,0,/,.,0,da39a3ee5e6b4b0d3255bfef95601890afd80709,a022640bdb8ff3ee231d6bb5e60b817664b52a75,5
