filename,type,file_size,hash,notes,exhibit_candidate
file-ViBWxoNuf6hhh6Ahpeyx3U-5c47b51b-a20b-435f-9c3e-cf2463420582.webp,AI_generated_DALLE,404722,a9da0679f2593275,DALL-E image,yes
file-8BoQyQmFrEjGCci8zrz0mZBd-1500fc1a-f75d-4e7f-a937-ba2c018571dc.webp,AI_generated_DALLE,409580,5112aeccc3cea37a,DALL-E image,yes
file-YU1rfMuzoxIRT2KF1PTfV5r4-2c4c1ccf-723a-4cdb-bf4d-04b64bf23184.webp,AI_generated_DALLE,653026,7820e85102896a14,DALL-E image,yes
file-PPY3sCZDuYfmRxeUrARFhL-434d42e8-6a13-48af-8804-d2ce9d7e68ff.webp,AI_generated_DALLE,317480,238fc9221dcb80d8,DALL-E image,yes
file-AgsX7nt694n47k3YczRnBJ-5612f383-f6bb-4c4b-987d-31bdebc04254.webp,AI_generated_DALLE,629636,21d94ecc320201ff,DALL-E image,yes
file-HTzoYVouaSizHDCTKcrmrP-4ea6c264-92a8-4b3f-a50c-d3370b5fcba5.webp,AI_generated_DALLE,394532,910a825e423b07da,DALL-E image,yes
file-FTq8z6YGU6Ts93qoiqkEZB-bcb27739-d5a2-4a8a-b35f-51ca6a61f3b9.webp,AI_generated_DALLE,276062,8dbd125a27162c87,DALL-E image,yes
file-5HtiApbwqVUHwgAN3ZnKBz-4eaedced-4aba-40d8-9663-013e01876602.webp,AI_generated_DALLE,486340,08f6d119eff4584b,DALL-E image,yes
file-4hmhop6GxVbf9J4sufXFD3-35c1dec8-bc95-4fd8-bcf6-c6d2a14ccbdf.webp,AI_generated_DALLE,343010,23f7db820ee0eea4,DALL-E image,yes
