filename,path,type
file-Se8Jz3TkKqpvobjBRQMriP-WhatsApp Image 2025-08-26 at 9.44.36 AM.jpeg,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-Se8Jz3TkKqpvobjBRQMriP-WhatsApp Image 2025-08-26 at 9.44.36 AM.jpeg,capture
file-9xsazCv9ymCJe9jyeiMAiimB-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-9xsazCv9ymCJe9jyeiMAiimB-image.png,capture
file-gqk1cWohsM7sRDfyUygNlN73-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-gqk1cWohsM7sRDfyUygNlN73-image.png,capture
file-7nyI9hS0FUQhRleDZVw3FphX-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-7nyI9hS0FUQhRleDZVw3FphX-image.png,capture
file-Xsn9OLyeOeX7WtHn85Fp9pMJ-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-Xsn9OLyeOeX7WtHn85Fp9pMJ-image.png,capture
file-9TmrOKlgBMDBeHs03rfNJCFM-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-9TmrOKlgBMDBeHs03rfNJCFM-image.png,capture
file-VUnjqCCKCgT1xXq4ydQTR6-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-VUnjqCCKCgT1xXq4ydQTR6-image.png,capture
file-QG5QUZhbAE4BRv4UPtEE2p-6729.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-QG5QUZhbAE4BRv4UPtEE2p-6729.png,capture
file-V9UzdaZJKmdERiGfAkuRvT-c40a9a4c-d6ef-4c3d-af6f-c11382d5a30c.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-V9UzdaZJKmdERiGfAkuRvT-c40a9a4c-d6ef-4c3d-af6f-c11382d5a30c.png,capture
file-3EspnfWvsWOmzCWyypbLmfXW-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-3EspnfWvsWOmzCWyypbLmfXW-image.png,capture
file-Hryhptqvw4ALd9WX49Ytz7-17533383227645746191917702183949.jpg,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-Hryhptqvw4ALd9WX49Ytz7-17533383227645746191917702183949.jpg,capture
file-SgkrdDhkbUuNgCRwG2Wr7c-Screenshot_20241208-051358.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-SgkrdDhkbUuNgCRwG2Wr7c-Screenshot_20241208-051358.png,screenshot
file-ArcrB89b6nafUObS6IBWAmVS-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-ArcrB89b6nafUObS6IBWAmVS-image.png,capture
file-TFneKUshHZaZBRzDyoNa7t-8260.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-TFneKUshHZaZBRzDyoNa7t-8260.png,capture
file-XSd6f79w9tX29AXMUrqFpE-70ad996c-f196-4432-b896-ff770ed30d26.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-XSd6f79w9tX29AXMUrqFpE-70ad996c-f196-4432-b896-ff770ed30d26.png,capture
file-1rKUR3Y6y56SgQaJNY9U4G-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-1rKUR3Y6y56SgQaJNY9U4G-image.png,capture
file-GKfcxShqKmiCocEDbe9rZj-image.png,/home/simon/Learning-Management-System-Academy/legal-matters/digital-unicorn-icon-plc/digital_unicorn_outsource/file-GKfcxShqKmiCocEDbe9rZj-image.png,capture
